"Events / Unique users","utm_campaign","utm_id","Average","1 Mar 2026","2 Mar 2026","3 Mar 2026","4 Mar 2026","5 Mar 2026","6 Mar 2026","7 Mar 2026","8 Mar 2026","9 Mar 2026","10 Mar 2026","11 Mar 2026","12 Mar 2026","13 Mar 2026","14 Mar 2026","15 Mar 2026","16 Mar 2026","17 Mar 2026","18 Mar 2026","19 Mar 2026","20 Mar 2026","21 Mar 2026","22 Mar 2026","23 Mar 2026","24 Mar 2026","25 Mar 2026","26 Mar 2026","27 Mar 2026","28 Mar 2026","29 Mar 2026","30 Mar 2026","31 Mar 2026","1 Apr 2026","2 Apr 2026","3 Apr 2026","4 Apr 2026","5 Apr 2026","6 Apr 2026","7 Apr 2026","8 Apr 2026","9 Apr 2026","10 Apr 2026","11 Apr 2026","12 Apr 2026","13 Apr 2026","14 Apr 2026","15 Apr 2026","16 Apr 2026","17 Apr 2026","18 Apr 2026","19 Apr 2026","20 Apr 2026","21 Apr 2026","22 Apr 2026","23 Apr 2026","24 Apr 2026","25 Apr 2026","26 Apr 2026","27 Apr 2026","28 Apr 2026","29 Apr 2026"
"page_view","AS","WA_OB_AS_20march_1","2498.95","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8657","14314","2214","582","371","195","121","8750","12245","2070","569","580","354","338","8609","13122","2337","677","740","434","437","8652","12079","2341","844","733","315","435","8051","11352","2430","868","784","750","396","7735","11315","2243","770","128"
"page_view","TOF_Bulk_Lookalike2_new_videos_Jan","120216149678200111","382.95","804","1217","977","809","952","889","534","18","655","552","229","616","678","550","578","364","442","393","276","246","341","261","309","439","336","415","509","504","713","990","857","452","402","354","211","207","347","289","265","201","148","223","258","353","309","173","134","169","94","173","143","86","103","48","8","42","208","10","112","2"
"page_view","AS","RCS_1","169.48","909","526","52","25","29","25","19","19","19","9","19","20","11","16","699","347","86","44","35","28","23","666","332","57","37","37","13","15","669","560","66","44","31","21","20","563","292","75","43","27","21","20","664","376","91","52","30","26","24","490","233","73","43","39","22","23","757","565","77","15"
"page_view","HoliSale_2Mar_11am","OB","56.68","0","2802","140","52","71","32","26","16","19","27","23","8","8","16","9","10","3","6","6","10","2","5","1","4","1","2","6","1","0","23","2","7","0","2","2","2","0","3","1","2","0","0","2","1","3","0","0","0","2","4","1","1","2","1","1","2","2","24","4","1"
"page_view","TOF_Bulk_Lookalike2_UGC_Videos_3_9Oct","120225188782120111","116.6","100","159","105","47","55","45","69","0","140","232","91","215","173","222","245","124","159","101","80","34","69","60","74","83","74","90","103","148","307","253","251","328","313","193","179","160","120","140","163","214","178","151","120","60","73","112","83","72","21","86","111","66","27","23","17","0","29","8","41","0"
"page_view","TOF_Bulk_Lookalike2_UGC_Videos_3_9Oct","120242513233210111","10.65","3","14","20","10","21","0","12","0","16","13","2","20","30","23","20","26","16","13","21","18","1","13","22","7","3","2","4","2","26","21","67","55","37","15","3","8","6","19","9","14","5","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"page_view","Repeat_>1_UGC_1","120243789611800111","35.18","0","0","0","0","0","0","0","0","0","0","0","2","0","18","141","434","136","121","84","81","41","41","34","34","28","45","30","46","82","27","61","55","47","55","29","7","21","20","35","29","38","28","27","23","24","25","27","17","12","41","26","12","0","3","9","3","9","1","1","1"
"page_view","Repeat_>1_UGC_1","120243789611790111","1.9","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","9","12","3","4","2","2","0","3","1","3","4","4","3","2","9","5","7","3","5","4","1","1","0","0","2","1","0","2","2","1","2","0","1","1","0","0","0","9","0","4","0","0","0","0"
"page_view","regional","1709_reactivation_OB_south","0.2","1","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","1","0","1","0","0","0","0","0","0","0","2","1","0","0","0","0","0","0","0","0","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"page_view","(EMPTY)","WA_OB_AS_16nov_1","0.2","0","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0","1","0","0","0","0","0","0","1","0","1","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"page_view","Magicpin_D2C_banner","MagicPin","2.83","2","4","2","2","3","1","4","4","3","2","6","4","0","2","4","1","5","4","3","2","5","4","1","2","0","2","4","1","2","5","5","2","2","1","1","4","4","8","7","2","1","3","2","1","3","6","1","3","5","1","0","2","5","2","4","2","2","5","2","0"
"page_view","Advantage++shopping+campaign_Videos_Bulk_30_Jan","120230215645910111","16.68","7","28","22","20","21","4","103","1","42","38","9","500","21","4","0","8","19","8","13","13","6","26","16","13","9","16","20","9","4","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"page_view","Advantage+ shopping campaign_Videos_Bulk_30_Jan","120242513383770111","0.63","0","0","1","0","1","0","0","6","4","5","0","2","1","0","0","0","0","0","0","0","0","0","1","0","0","0","1","1","0","0","0","4","5","1","0","2","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"page_view","TOF_Bulk_Lookalike+Targeting","120235219500690111","0.37","0","0","1","3","1","1","0","0","1","1","0","0","0","0","0","0","1","0","1","1","0","1","0","0","2","1","1","0","1","0","1","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"page_view","AS","120244460447630111","0.02","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"page_view","Advantage_Diwali_Sale_11Oct","120235636692720111","0.23","0","3","0","1","0","1","1","0","0","0","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","1","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"page_view","(EMPTY)","120237753540390111","0.53","0","0","2","1","0","0","0","0","0","1","0","0","0","1","1","0","2","1","2","0","0","0","1","0","1","0","1","0","1","0","1","1","0","1","4","1","0","0","0","0","0","1","2","0","1","0","0","0","2","0","0","0","0","1","0","0","0","1","1","0"
"page_view","DPA_Internal","120215547984040111","11942.23","13025","17930","13749","13866","16234","15642","16324","18383","18962","25674","11507","35217","25749","18911","22324","17419","17977","19230","17725","14316","12137","13571","11989","10412","10392","11061","9987","10500","10719","11069","8333","6510","7008","6833","7157","8836","8821","8510","7995","7643","7256","7989","8424","8301","8715","7112","7357","6912","6179","7874","8191","8130","8737","6759","8221","9200","10072","9775","9159","2524"
"page_view","2128372_","--","95.67","92","95","33","39","67","33","41","90","24","15","24","9","14","11","15","16","92","16","51","16","17","27","14","7","8","14","8","32","60","25","195","22","86","112","148","243","74","152","193","52","169","246","267","223","183","169","201","86","200","260","188","95","126","126","242","264","149","112","143","9"
"page_view","Advantage+ shopping campaign_Videos_Bulk_30_Jan","120241425411330111","9.43","10","12","12","15","40","35","21","1","11","9","3","13","4","6","3","5","13","9","8","6","12","10","3","0","4","3","4","14","8","3","15","23","25","18","4","3","8","14","22","19","19","10","10","20","8","3","9","11","5","4","10","5","1","0","0","2","0","1","0","0"
"page_view","BOGO_30Mar","--","7.32","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","346","23","17","12","8","6","9","0","2","1","2","0","0","1","2","1","0","0","0","0","0","2","0","0","0","0","0","0","6","1","0"
"page_view","WUkkEjHTJvueKT9BAzgUbb_p36898632","--","0.02","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"page_view","TOF_Bulk_Lookalike2_UGC_Jan","120238969910920111","101.93","113","120","107","99","78","79","5","71","126","114","68","120","157","131","183","148","214","243","153","161","260","99","121","190","102","149","113","96","123","172","220","115","104","136","76","52","84","139","103","76","148","63","76","100","108","83","66","61","52","48","65","31","18","62","2","34","5","23","51","0"
